Title,Location,Price per night,Link,Contact number

Apartamento 8 plazas con piscina a 150m playa,"Tossa de Mar, Girona/Gerona",80€,https://es.rentalia.com/7415,686086600

Casa para 6-8 personas a 350 m de la playa,"Miami Playa, Mont-roig del Camp, Tarragona",79€,https://es.rentalia.com/609827,654233141

Casa con piscina privada en la costa dorada,"Creixell, Tarragona",74€,https://es.rentalia.com/334650,665319668

"Primera línea de mar, excelentes vistas","Miami Playa, Mont-roig del Camp, Tarragona",59€,https://es.rentalia.com/56467,657516437

Apto Cambrils 1ª línea playa. 4 plazas+1extra,"Cambrils, Tarragona",34€,https://es.rentalia.com/152214,645518438

Villa en alquiler a 100 m de la playa,"Riumar, Deltebre, Tarragona",93€,https://es.rentalia.com/85972,696430492

OFERTA ÚLTIMA SEMANA DE AGOSTO Casa-pareada,"Torredembarra, Tarragona",50€,https://es.rentalia.com/95238,610931494

Casa para 6-8 personas a 350 m de la playa,"Miami Playa, Mont-roig del Camp, Tarragona",79€,https://es.rentalia.com/609827,654233141

Casa con piscina privada en la costa dorada,"Creixell, Tarragona",74€,https://es.rentalia.com/334650,665319668

"Primera línea de mar, excelentes vistas","Miami Playa, Mont-roig del Camp, Tarragona",59€,https://es.rentalia.com/56467,657516437

Apto Cambrils 1ª línea playa. 4 plazas+1extra,"Cambrils, Tarragona",34€,https://es.rentalia.com/152214,645518438

Villa en alquiler a 100 m de la playa,"Riumar, Deltebre, Tarragona",93€,https://es.rentalia.com/85972,696430492

Villa para 10/13 personas con piscina (200 mts playa),"Ampolla Mar, L' Ampolla, Tarragona",90€,https://es.rentalia.com/45835,649224711

Apartamento 8 plazas con piscina a 150m playa,"Tossa de Mar, Girona/Gerona",80€,https://es.rentalia.com/7415,686086600

"Villa de 5 hab., para 13 pers. A 200 m de la playa","Ampolla Mar, L' Ampolla, Tarragona",102€,https://es.rentalia.com/47288,649224711

Villa con piscina privada a 4km de la playa,"Tres Calas, L' Ametlla de Mar, Tarragona",111€,https://es.rentalia.com/858385,678683401

Apartamento 2 habitaciones a 100m de la playa,"Sitges, Barcelona",97€,https://es.rentalia.com/57110,672261252

Villa de 9 habitaciones a 8 km de la playa,"Riudecanyes, Tarragona",432€,https://es.rentalia.com/429326,620259630

Apartamentos a primera línea de playa,"Pals, Girona/Gerona",56€,https://es.rentalia.com/547268,972636040

Apartamento de 4 habitaciones a 200 m de la playa,"Tossa de Mar, Girona/Gerona",85€,https://es.rentalia.com/115957,656907756

Casa en alquiler a 300 m de la playa,"Riumar, Deltebre, Tarragona",43€,https://es.rentalia.com/234195,696430492

Casa para 12 personas a 300 m de la playa,"Riumar, Deltebre, Tarragona",58€,https://es.rentalia.com/234188,696430492

Apartamentos en primera línea de playa,"Arenals de Mar, Pals, Girona/Gerona",70€,https://es.rentalia.com/547542,972636040

Apartamento en Puigcerdà - La Cerdanya,"Puigcerdà, Girona/Gerona",72€,https://es.rentalia.com/356954,676612773

Vista al mar ( Desinfección preventiva COVID 19),"Roses, Girona/Gerona",60€,https://es.rentalia.com/550898,972257711

Apartamento para 4/6 personas a 100 m de la playa,"Ardiaca, Cambrils, Tarragona",61€,https://es.rentalia.com/391970,977369848

Casa de 2 plantas a 300 m de la playa,"Miami Playa, Mont-roig del Camp, Tarragona",100€,https://es.rentalia.com/22150,977179884

Preciosa casita a 800 m de la playa,"Miami Playa, Mont-roig del Camp, Tarragona",100€,https://es.rentalia.com/22275,664348313

Casa para 8 personas en 1a línea de playa,"Riumar, Deltebre, Tarragona",56€,https://es.rentalia.com/688249,649277309

Apartamento soleado en primera linia de playa,"Torredembarra, Tarragona",72€,https://es.rentalia.com/177149,699273207

Casa con Encanto en Alquiler a 400m de la Playa.,"Miami Playa, Mont-roig del Camp, Tarragona",56€,https://es.rentalia.com/133825,622323470

Villa en alquiler a 400 m de la playa,"Pals, Girona/Gerona",48€,https://es.rentalia.com/547551,972636040

